112,3,2,22,1.2881,2.3183,33.9929,33.9929,12.1818,22.8556,33.9929,21.2045,33.9929,33.9929,14.4216,25.6685,4.0937
113,3,2,23,1.2872,2.3428,24.8139,24.8139,12.2322,22.9076,24.8139,17.0467,24.8139,24.8139,10.3279,16.493,4.6766
114,3,2,24,1.2838,2.3794,23.9294,23.9294,12.3614,23.0795,23.9294,16.605,23.9294,23.9294,9.5588,14.661,4.7356
115,3,2,25,1.283,2.4195,32.5586,32.5586,14.9429,28.6149,32.5586,20.4576,32.5586,32.5586,12.2047,20.3425,4.1946
116,3,2,26,1.2816,2.4596,34.74,34.74,16.0079,30.8816,34.74,21.3774,34.74,34.74,12.9919,22.0114,4.0586
117,3,2,27,1.2793,2.5096,34.8647,34.8647,10.6926,18.8001,34.8647,21.3464,34.8647,34.8647,13.175,22.1894,4.0552
118,3,2,28,1.2772,2.5647,34.7743,34.7743,10.9962,18.9254,34.7743,21.2096,34.7743,34.7743,13.431,22.2652,4.0681
119,3,2,29,1.2765,2.6203,34.6289,34.6289,12.2813,19.5561,34.6289,20.9678,34.6289,34.6289,14.3065,22.6377,4.0923
120,3,2,30,1.2779,2.6794,33.5271,33.5271,13.0548,19.9229,33.5271,20.0435,33.5271,33.5271,14.2405,22.2158,4.1669
121,3,3,1,3.2746,2.5125,48.3384,48.3384,22.0389,36.5218,48.3384,27.0979,48.3384,48.3384,20.4486,33.273,3.4162
122,3,3,2,3.2318,2.4591,48.1706,48.1706,22.1719,36.6356,48.1706,27.1436,48.1706,48.1706,20.3327,32.7715,3.4268
123,3,3,3,3.1875,2.4148,48.1709,48.1709,21.9383,36.0923,48.1709,27.192,48.1709,48.1709,20.357,32.7207,3.4267
124,3,3,4,3.1371,2.373,48.1659,48.1659,21.7329,35.6433,48.1659,27.2143,48.1659,48.1659,20.3596,32.6859,3.4267
125,3,3,5,3.0921,2.3324,48.1646,48.1646,27.1304,47.5809,48.1646,27.2308,48.1646,48.1646,20.3836,32.6722,3.4271
126,3,3,6,3.0544,2.2918,48.1652,48.1652,27.3373,46.901,48.1652,27.2418,48.1652,48.1652,20.6869,32.7626,3.4319
127,3,3,7,3.0108,2.2527,48.1689,48.1689,26.4163,44.8661,48.1689,27.2538,48.1689,48.1689,20.6972,32.7713,3.4311
128,3,3,8,2.9711,2.2141,48.17,48.17,26.318,44.6596,48.17,27.2626,48.17,48.17,20.6978,32.7653,3.4309
129,3,3,9,2.9156,2.1755,48.175,48.175,26.259,44.5397,48.175,27.2749,48.175,48.175,20.7024,32.7663,3.4305
130,3,3,10,2.8886,2.1385,48.1796,48.1796,25.9043,43.9609,48.1796,27.2838,48.1796,48.1796,20.6558,32.7563,3.4291
131,3,3,11,2.8418,2.1018,48.1848,48.1848,25.2392,43.5279,48.1848,27.2931,48.1848,48.1848,20.3826,32.6742,3.4237
132,3,3,12,2.805,2.0661,48.1916,48.1916,25.2234,43.497,48.1916,27.3035,48.1916,48.1916,20.3876,32.6817,3.4232
133,3,3,13,2.769,2.0312,48.199,48.199,25.2244,43.498,48.199,27.3145,48.199,48.199,20.3955,32.6903,3.4226
134,3,3,14,2.7362,1.9963,48.2057,48.2057,25.233,43.523,48.2057,27.3242,48.2057,48.2057,20.3991,32.6978,3.4221
135,3,3,15,2.6953,1.9633,48.2117,48.2117,25.2275,43.5154,48.2117,27.3337,48.2117,48.2117,20.403,32.7041,3.4216
136,3,3,16,2.6672,1.9322,48.2183,48.2183,25.2286,43.5168,48.2183,27.3428,48.2183,48.2183,20.4094,32.7133,3.421
137,3,3,17,2.6358,1.9035,48.2257,48.2257,25.2413,43.5465,48.2257,27.3516,48.2257,48.2257,20.4155,32.7251,3.4204
138,3,3,18,2.5959,1.8723,48.2301,48.2301,25.2365,43.5526,48.2301,27.3582,48.2301,48.2301,20.4149,32.7294,3.4199
139,3,3,19,2.5601,1.8427,48.2354,48.2354,25.2129,43.5201,48.2354,27.3658,48.2354,48.2354,20.4146,32.7348,3.4194
140,3,3,20,2.5304,1.8137,48.242,48.242,25.2019,43.5044,48.242,27.3745,48.242,48.242,20.4172,32.7438,3.4188
141,3,3,21,2.5027,1.7862,48.2501,48.2501,25.2014,43.5036,48.2501,27.3853,48.2501,48.2501,20.4242,32.7554,3.4181
142,3,3,22,2.4763,1.7604,48.2552,48.2552,25.185,43.4735,48.2552,27.3919,48.2552,48.2552,20.4266,32.7633,3.4175
143,3,3,23,2.4463,1.7336,48.2588,48.2588,22.3741,37.2317,48.2588,27.3975,48.2588,48.2588,20.4253,32.7673,3.4171
144,3,3,24,2.4212,1.7093,48.265,48.265,22.351,37.1941,48.265,27.4061,48.265,48.265,20.4277,32.7763,3.4164
